repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,4,5,544,17,3155214,4215154,3712594,4133226,3798894,4371680,3994562,4289015,4469442,4868636,4692454,5082454,4995648,5385455,749529,818658,913745,924129,1015374,1080487,1160195,7266,79078,10906,81861,17550,86543,22114
10,10,100,1,0,4,5,548,18,3234653,4150171,3709155,4090775,3792660,4394055,4005310,4424015,4594442,5013636,4817454,5227454,5120648,5530455,772466,827962,929899,934910,1030661,1085630,1174638,7050,74833,4006,79085,9067,85788,13728
10,10,100,1,0,4,5,552,18,3171885,4266371,3687812,4158562,3760136,4454779,4017768,4348885,4529442,4948636,4752454,5162454,5055648,5465455,759793,827944,928653,933087,1029648,1085676,1173361,6501,79323,3623,82549,8313,89558,16026
10,10,100,1,0,4,5,556,18,3287161,4309021,3807666,4258498,3942889,4586537,4155287,4483825,4654442,5073636,4877454,5287454,5180648,5590455,784603,838173,940180,944423,1039595,1099232,1185381,7465,77628,6514,83339,16336,89940,21706
10,10,100,1,0,4,5,560,18,3219077,4280657,3743497,4210442,3829491,4442913,4036066,4409005,4589442,5008636,4812454,5222454,5115648,5525455,768914,837923,938752,943429,1038522,1095250,1184212,6795,77954,5752,82332,11916,87451,16902
10,10,100,1,0,4,5,564,18,3349887,4296311,3947391,4211204,3956909,4592973,4197349,4544005,4714442,5133636,4937454,5347454,5240648,5650455,793668,848113,949891,955099,1050961,1109971,1194891,7017,72105,12714,74154,15581,88106,23136
10,10,100,1,0,4,5,568,18,3294310,4450179,3862171,4276969,3894118,4651617,4207820,4469015,4649442,5068636,4872454,5282454,5175648,5585455,779442,848154,948757,953172,1049712,1104366,1195283,7522,81904,8216,81169,12445,90811,21975
10,10,100,1,0,4,5,572,18,3399674,4424477,3904457,4381260,3976074,4686195,4194310,4603935,4774442,5193636,4997454,5407454,5300648,5710455,804070,857918,959818,964775,1059782,1120760,1205495,7079,73737,7214,79795,13790,87239,18110
10,10,100,1,0,4,5,576,18,3332130,4476856,3874005,4373360,3918708,4714556,4160034,4529055,4709442,5128636,4932454,5342454,5235648,5645455,789032,858001,958646,963260,1060011,1116032,1205198,6968,78392,7413,81302,11615,88946,17764
10,10,100,1,0,4,5,580,19,3447704,4571412,4040929,4559705,4146461,4822318,4313483,4663885,4834442,5273636,5057454,5487454,5360648,5790455,810947,868348,974987,975438,1077236,1127547,1221713,7493,76798,7372,83560,15728,88175,18788
10,10,100,1,0,4,5,584,19,3401947,4618572,3983933,4534896,4058267,4892772,4306647,4589005,4769442,5208636,4992454,5422454,5295648,5725455,798174,868105,974055,973317,1075694,1128882,1219198,7627,77727,4174,81679,10626,91529,17091
10,10,100,1,0,4,5,588,19,3471784,4583436,4069922,4420964,4084658,4818102,4345492,4724035,4894442,5333636,5117454,5547454,5420648,5850455,821966,877936,984034,984487,1085184,1139594,1230377,7238,78862,9863,77183,11955,88572,18400
10,10,100,1,0,4,5,592,19,3415980,4768614,4014152,4586250,4081700,4935395,4326318,4648935,4829442,5268636,5052454,5482454,5355648,5785455,808484,878012,983783,983345,1085063,1140620,1229187,7433,82701,6407,82722,11633,90408,18641
10,10,100,1,0,4,5,596,19,3571735,4881575,4240835,4772527,4279686,5167202,4526261,4783935,4954442,5393636,5177454,5607454,5480648,5910455,834869,887993,994905,994494,1095052,1149591,1240129,7238,80360,9304,78237,16795,92280,22749
10,10,100,1,0,4,5,600,19,3446103,4748685,4078092,4621160,4127050,4990353,4361132,4709045,4889442,5328636,5112454,5542454,5415648,5845455,819082,887976,993661,993380,1094825,1148363,1238956,6949,81753,6609,81015,10473,90513,15139
10,10,100,1,0,4,5,604,19,3594305,4998882,4287159,4834535,4308110,5240557,4546486,4843925,5014442,5453636,5237454,5667454,5540648,5970455,845042,897935,1004897,1004681,1105174,1159886,1249992,7441,81988,9052,80213,14921,90463,19928
10,10,100,1,0,4,5,608,19,3484057,4661055,4118969,4533262,4231664,4853029,4425117,4769025,4949442,5388636,5172454,5602454,5475648,5905455,829907,897978,1003642,1003424,1105755,1160973,1249910,7514,83860,10333,87395,18345,93374,21940
10,10,100,1,0,4,5,612,20,3594020,4735077,4193610,4621075,4289170,4896602,4499070,4903945,5074442,5533636,5297454,5747454,5600648,6050455,854028,907919,1019896,1014563,1119732,1170303,1266247,8532,84530,5930,86696,12438,92364,18176
10,10,100,1,0,4,5,616,20,3522064,4639565,4157533,4531841,4237118,4845128,4447197,4828935,5009442,5468636,5232454,5682454,5535648,5985455,839262,907961,1019349,1013379,1120346,1163424,1264425,7533,83210,7232,85949,11785,92468,16593
10,10,100,1,0,4,5,620,20,3710046,5022371,4508702,4877230,4498449,5287865,4776676,4964005,5134442,5593636,5357454,5807454,5660648,6110455,862862,917949,1028918,1024446,1129405,1175166,1275656,7351,82688,14148,83109,15102,96533,24974
10,10,100,1,0,4,5,624,20,3625846,5073650,4381428,4890722,4471584,5263916,4714400,4888945,5069442,5528636,5292454,5742454,5595648,6045455,847594,918195,1029093,1023263,1130163,1180877,1275173,8414,87120,8196,88022,14399,97815,21896
10,10,100,1,0,4,5,628,20,3800141,5270799,4492099,5172724,4595918,5470784,4775232,5024015,5194442,5653636,5417454,5867454,5720648,6170455,874474,928155,1040656,1034945,1140553,1184829,1285556,8831,86691,10818,91535,17446,96212,21189
10,10,100,1,0,4,5,632,20,3647870,4883514,4275241,4791548,4360987,5086157,4610970,4948915,5129442,5588636,5352454,5802454,5655648,6105455,859227,927991,1038683,1033543,1140056,1183367,1284678,7570,84565,9362,88692,14748,96624,21665
10,10,100,1,0,4,5,636,20,3752913,4989732,4370674,4857968,4371531,5177544,4616018,5083905,5254442,5713636,5477454,5927454,5780648,6230455,884399,939181,1050298,1045114,1150914,1200739,1295938,7453,85957,8971,87581,11470,95442,17154
10,10,100,1,0,4,5,640,20,3701113,5059220,4448349,4814455,4412198,5303395,4685720,5008965,5189442,5648636,5412454,5862454,5715648,6165455,869315,937991,1048922,1043285,1150295,1201547,1295017,7704,90958,15725,86464,14135,98828,22340
10,10,100,1,0,4,5,644,21,3822567,4979153,4408757,4859057,4453061,5269265,4697322,5143975,5314442,5793636,5537454,6007454,5840648,6310455,891539,947919,1064963,1054913,1165582,1210113,1310853,8259,82716,4858,81810,8760,95686,15415
10,10,100,1,0,4,5,648,21,3773058,5069662,4425518,4885957,4465887,5321620,4692575,5068955,5249442,5728636,5472454,5942454,5775648,6245455,879065,948006,1063711,1053412,1165119,1207684,1309507,7697,86804,6983,85860,10661,97480,16384
10,10,100,1,0,4,5,652,21,3849805,5055388,4470654,4940337,4530953,5297658,4767182,5203975,5374442,5853636,5597454,6067454,5900648,6370455,903078,957983,1074897,1064814,1175542,1215878,1320471,7556,81981,7056,83988,12853,94396,18727
10,10,100,1,0,4,5,656,21,3814132,5385097,4548697,5203216,4584285,5530340,4830049,5128995,5309442,5788636,5532454,6002454,5835648,6305455,889279,958055,1073619,1063355,1174929,1217121,1319309,7870,88256,6521,87518,10546,95184,16833
10,10,100,1,0,4,5,660,21,3953802,5457640,4643800,5292958,4697500,5635285,4931817,5263885,5434442,5913636,5657454,6127454,5960648,6430455,913209,968243,1085234,1074902,1185658,1225314,1330781,9692,87579,9054,87253,15277,98495,21290
10,10,100,1,0,4,5,664,21,3902501,5519334,4695183,5426426,4717876,5734621,4953899,5188905,5369442,5848636,5592454,6062454,5895648,6365455,899517,968049,1083765,1073354,1184542,1227381,1329163,7548,86344,9619,90942,15963,96361,21332
10,10,100,1,0,4,5,668,21,3961255,5207965,4587896,5085719,4608433,5469915,4848714,5323875,5494442,5973636,5717454,6187454,6020648,6490455,923579,977969,1094844,1084677,1195054,1240473,1340579,7665,83708,8865,83931,12721,95062,19057
10,10,100,1,0,4,5,672,21,3880850,5227283,4575207,5069008,4607755,5552900,4842105,5248915,5429442,5908636,5652454,6122454,5955648,6425455,909516,977980,1093657,1083345,1194575,1237688,1339436,7623,82837,8214,83625,12803,96312,18449
10,10,100,1,0,4,5,676,22,3984061,5216317,4610105,5080267,4722824,5428863,4931402,5383985,5554442,6053636,5777454,6267454,6080648,6570455,932946,988058,1109937,1094756,1210388,1244938,1355392,7678,85997,4690,85593,13686,94932,18006
10,10,100,1,0,4,5,680,22,3929766,5282719,4631454,5193900,4707594,5561500,4954893,5308985,5489442,5988636,5712454,6202454,6015648,6505455,919772,987929,1108627,1093125,1209630,1243917,1354607,8198,87044,6297,91788,12334,98590,19275
10,10,100,1,0,4,5,684,22,4068532,5338648,4720097,5264063,4810114,5684346,5096551,5444005,5614442,6113636,5837454,6327454,6140648,6630455,943329,998187,1120184,1104955,1221400,1255643,1365858,9347,87171,7731,90893,15565,102130,24134
