repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,42,2,6,74751383,0,0,0,0,82672114,68792393,160933907,0,0,0,0,222523663,248123460,8453604,0,0,0,0,9846816,9854769,4840643,0,0,0,0,4413916,4213988
10,10,100,1,0,8,800,176,43,2,6,73069409,0,0,0,0,82198890,68170278,160933906,0,0,0,0,222523663,248123460,8293860,0,0,0,0,9837891,9907813,4932850,0,0,0,0,4335507,4186501
10,10,100,1,0,8,800,176,44,2,6,73690445,0,0,0,0,82179885,68460231,160933906,0,0,0,0,222523663,248123460,8253076,0,0,0,0,9890703,9934483,4970097,0,0,0,0,4315395,4171803
10,10,100,1,0,8,800,176,45,2,6,72635836,0,0,0,0,81431349,68265853,160933906,0,0,0,0,222523663,248123460,8362153,0,0,0,0,9473536,9565285,4735369,0,0,0,0,4422668,4105041
10,10,100,1,0,8,800,176,46,2,6,76290667,0,0,0,0,82960018,68568815,160933907,0,0,0,0,222523663,248123460,8360706,0,0,0,0,9900133,9827447,4965192,0,0,0,0,4446416,4238337
10,10,100,1,0,8,800,176,47,2,6,71761961,0,0,0,0,80965445,68047067,160933906,0,0,0,0,222523663,248123460,8042872,0,0,0,0,9594612,9718443,4781109,0,0,0,0,4399551,4064439
10,10,100,1,0,8,800,176,48,2,6,73829306,0,0,0,0,82609555,68250113,160933907,0,0,0,0,222523663,248123460,7915699,0,0,0,0,9781183,9831725,5197603,0,0,0,0,4382682,4122523
10,10,100,1,0,8,800,176,49,2,6,71349887,0,0,0,0,81729933,68295320,160933906,0,0,0,0,222523663,248123460,7949881,0,0,0,0,9606974,9624414,4955099,0,0,0,0,4303047,4089972
10,10,100,1,0,8,800,176,50,2,6,75222561,0,0,0,0,82634971,68383492,160933907,0,0,0,0,222523663,248123459,8200128,0,0,0,0,9788217,9818284,5038376,0,0,0,0,4458871,4217518
10,10,100,1,0,8,800,176,51,2,6,71227186,0,0,0,0,82041838,67984312,160933906,0,0,0,0,222523663,248123460,8130805,0,0,0,0,9721188,9638534,4752560,0,0,0,0,4299629,4174111
10,10,100,1,0,8,800,176,52,2,6,75822483,0,0,0,0,82666381,68539183,160933907,0,0,0,0,222523663,248123460,8174902,0,0,0,0,9793636,9802380,5077790,0,0,0,0,4550502,4203261
10,10,100,1,0,8,800,176,53,2,6,74129897,0,0,0,0,82129511,68641309,160933907,0,0,0,0,222523663,248123460,8411424,0,0,0,0,9777671,9767316,4891336,0,0,0,0,4406911,4193351
10,10,100,1,0,8,800,176,54,2,6,73420947,0,0,0,0,82825900,68558929,160933907,0,0,0,0,222523663,248123460,8102995,0,0,0,0,9739622,9799115,5049720,0,0,0,0,4477742,4244709
10,10,100,1,0,8,800,176,55,2,6,70815420,0,0,0,0,81909688,68323642,160933906,0,0,0,0,222523663,248123460,8332997,0,0,0,0,9601552,9656169,4692594,0,0,0,0,4399987,4098220
10,10,100,1,0,8,800,176,56,2,6,73449651,0,0,0,0,82534740,68608807,160933907,0,0,0,0,222523663,248123460,8265347,0,0,0,0,9701771,9797719,4984309,0,0,0,0,4493348,4206617
10,10,100,1,0,8,800,176,57,2,6,72317087,0,0,0,0,82833567,68408464,160933907,0,0,0,0,222523663,248123460,8036950,0,0,0,0,9663293,9629066,4837530,0,0,0,0,4396187,4139846
10,10,100,1,0,8,800,176,58,2,6,74640406,0,0,0,0,85222612,69063991,160933907,0,0,0,0,222523663,248123460,8364075,0,0,0,0,9524124,9572007,5104706,0,0,0,0,4940936,4382079
10,10,100,1,0,8,800,176,59,2,6,71809864,0,0,0,0,82886138,68335508,160933907,0,0,0,0,222523663,248123460,8058067,0,0,0,0,9588281,9637894,4831767,0,0,0,0,4363281,4139674
10,10,100,1,0,8,800,176,60,2,6,71479993,0,0,0,0,82652642,68573873,160933906,0,0,0,0,222523663,248123460,7981714,0,0,0,0,9547826,9670579,4875158,0,0,0,0,4420845,4138894
10,10,100,1,0,8,800,176,61,2,6,73165742,0,0,0,0,83228206,68705533,160933906,0,0,0,0,222523663,248123460,8197462,0,0,0,0,9750490,9736826,5006849,0,0,0,0,4546412,4299478
10,10,100,1,0,8,800,176,62,2,6,73533251,0,0,0,0,83028473,68589814,160933906,0,0,0,0,222523663,248123460,8246838,0,0,0,0,9688796,9651888,5035702,0,0,0,0,4673218,4398110
10,10,100,1,0,8,800,176,63,2,6,70967240,0,0,0,0,83636967,68656589,160933906,0,0,0,0,222523663,248123460,8214073,0,0,0,0,9547856,9549161,4756894,0,0,0,0,4641398,4273591
10,10,100,1,0,8,800,176,64,2,6,72725998,0,0,0,0,83737198,68138573,160933906,0,0,0,0,222523663,248123460,8340964,0,0,0,0,9620910,9638492,5039487,0,0,0,0,4633333,4260148
10,10,100,1,0,8,800,176,65,2,6,71479216,0,0,0,0,82014110,67972238,160933906,0,0,0,0,222523663,248123460,8051335,0,0,0,0,9386887,9564335,4870462,0,0,0,0,4596609,4184851
10,10,100,1,0,8,800,176,66,2,6,72027177,0,0,0,0,82182199,67965976,160933906,0,0,0,0,222523663,248123460,8185560,0,0,0,0,9483697,9501890,4930666,0,0,0,0,4535616,4123928
10,10,100,1,0,8,800,176,67,2,6,74463278,0,0,0,0,81818011,68450519,160933906,0,0,0,0,222523663,248123460,8369725,0,0,0,0,9410258,9362740,5048029,0,0,0,0,4504446,4052075
10,10,100,1,0,8,800,176,68,2,6,72916357,0,0,0,0,83695941,68603769,160933906,0,0,0,0,222523663,248123459,8194999,0,0,0,0,9709101,9679539,4996497,0,0,0,0,4491866,4294067
10,10,100,1,0,8,800,176,69,2,6,70991712,0,0,0,0,82864339,68247519,160933906,0,0,0,0,222523663,248123460,7992363,0,0,0,0,9458020,9463894,4917516,0,0,0,0,4470511,4174602
10,10,100,1,0,8,800,176,70,2,6,72441167,0,0,0,0,82528307,68494074,160933906,0,0,0,0,222523663,248123460,8102687,0,0,0,0,9804276,9824785,5073385,0,0,0,0,4369288,4180676
10,10,100,1,0,8,800,176,71,2,6,71519274,0,0,0,0,81484636,68190358,160933906,0,0,0,0,222523663,248123460,7978879,0,0,0,0,9378082,9413925,5000369,0,0,0,0,4357866,4054545
10,10,100,1,0,8,800,176,72,2,6,71237384,0,0,0,0,81281845,68047365,160933906,0,0,0,0,222523663,248123460,8160186,0,0,0,0,9415470,9501204,4841851,0,0,0,0,4431935,4070289
10,10,100,1,0,8,800,176,73,2,6,70889173,0,0,0,0,81720372,68536912,160933906,0,0,0,0,222523663,248123460,8106040,0,0,0,0,9353057,9480676,4848976,0,0,0,0,4551802,4157491
10,10,100,1,0,8,800,176,74,2,6,71766988,0,0,0,0,81391865,68063533,160933906,0,0,0,0,222523663,248123460,8241897,0,0,0,0,9359584,9447568,4826249,0,0,0,0,4542839,4157566
