repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,52,2,6,74891947,0,0,0,0,80824173,67620508,125745116,0,0,0,0,195237256,233637047,8240215,0,0,0,0,9460812,9478512,4852949,0,0,0,0,4393273,4045519
10,10,100,1,0,8,800,176,53,2,6,73774517,0,0,0,0,80381628,67576245,125745116,0,0,0,0,195237256,233637047,8143324,0,0,0,0,9374962,9451498,4919476,0,0,0,0,4405030,4077255
10,10,100,1,0,8,800,176,54,2,6,72895672,0,0,0,0,80009290,67757872,125745116,0,0,0,0,195237256,233637047,8216873,0,0,0,0,9397354,9459920,4883867,0,0,0,0,4348229,4074490
10,10,100,1,0,8,800,176,55,2,6,74603745,0,0,0,0,81851128,67894719,125745116,0,0,0,0,195237256,233637047,8183459,0,0,0,0,9445785,9416964,4967914,0,0,0,0,4448386,4119116
10,10,100,1,0,8,800,176,56,2,6,75495213,0,0,0,0,81696726,67587440,125745116,0,0,0,0,195237256,233637047,8339266,0,0,0,0,9559944,9523900,4883849,0,0,0,0,4377089,4121553
10,10,100,1,0,8,800,176,57,2,6,73594266,0,0,0,0,81745675,67884551,125745116,0,0,0,0,195237256,233637047,8237433,0,0,0,0,9300955,9370088,4830435,0,0,0,0,4466828,4175950
10,10,100,1,0,8,800,176,58,2,6,74975308,0,0,0,0,84996604,68641855,125745116,0,0,0,0,195237257,233637047,8251979,0,0,0,0,9308600,9278064,5102284,0,0,0,0,4763916,4190874
10,10,100,1,0,8,800,176,59,2,6,73774523,0,0,0,0,80990351,67854047,125745116,0,0,0,0,195237256,233637047,8366809,0,0,0,0,9427326,9364647,4822465,0,0,0,0,4445019,4115778
10,10,100,1,0,8,800,176,60,2,6,74861157,0,0,0,0,83813353,68499983,125745116,0,0,0,0,195237256,233637047,8302271,0,0,0,0,9336244,9246939,5033865,0,0,0,0,4633072,4214993
10,10,100,1,0,8,800,176,61,2,6,72695013,0,0,0,0,80628411,67721446,125745116,0,0,0,0,195237256,233637047,8289358,0,0,0,0,9359492,9311296,4791579,0,0,0,0,4495145,4225619
10,10,100,1,0,8,800,176,62,2,6,73787754,0,0,0,0,82041459,68105307,125745116,0,0,0,0,195237256,233637047,8220173,0,0,0,0,9376209,9354690,4949044,0,0,0,0,4521584,4176001
10,10,100,1,0,8,800,176,63,2,6,75199061,0,0,0,0,81754062,68084023,125745116,0,0,0,0,195237256,233637047,8383672,0,0,0,0,9457782,9506982,4926038,0,0,0,0,4417961,4157233
